item_title,item_desc,link
Florida Gators softball,"The Florida Gators softball team represents the University of Florida in the sport of softball. The Florida Gators compete in Division I of the National Collegiate Athletics Association (NCAA) and the Southeastern Conference (SEC). The Gators play their home games at Katie Seashole Pressly Softball Stadium on the university's Gainesville, Florida campus, and are currently led by head coach Tim Walton.",http://en.wikipedia.org/wiki/Florida_Gators_softball
Monmouth Hawks baseball,"For information on all Monmouth University sports, see Monmouth HawksThe Monmouth Hawks baseball team is a varsity intercollegiate athletic team of Monmouth University in West Long Branch, New Jersey, USA. The team is a member of the Metro Atlantic Athletic Conference, which is part of the National Collegiate Athletic Association's Division I. The team plays its home games at Monmouth Baseball Field in West Long Branch, New Jersey. The Hawks are coached by Dean Ehehalt.",http://en.wikipedia.org/wiki/Monmouth_Hawks_baseball
Rider Broncs baseball,"For information on all Rider University sports, see Rider BroncsThe Rider Broncs baseball team is a varsity intercollegiate athletic team of Rider University in Lawrenceville, New Jersey, USA. The team is a member of the Metro Atlantic Athletic Conference, which is part of the National Collegiate Athletic Association's Division I. The team plays its home games at Sonny Pittaro Field in Lawrenceville, New Jersey. The Broncs are coached by Barry Davis.",http://en.wikipedia.org/wiki/Rider_Broncs_baseball
1989 Western Soccer League,Final league standings for the 1989 Western Soccer League season.,http://en.wikipedia.org/wiki/1989_Western_Soccer_League
1991 American Professional Soccer League,Final league standings for the 1991 American Professional Soccer League season.,http://en.wikipedia.org/wiki/1991_American_Professional_Soccer_League
1992 American Professional Soccer League,Final league standings for the 1992 American Professional Soccer League season.,http://en.wikipedia.org/wiki/1992_American_Professional_Soccer_League
1996–2003 FC Seoul (Anyang LG Cheetahs) seasons,This article is about 1996-2003 seasons of FC Seoul.,http://en.wikipedia.org/wiki/1996–2003_FC_Seoul_(Anyang_LG_Cheetahs)_seasons
2009–10 Blackpool F.C. season,"The 2009–10 season was Blackpool F.C.'s 103rd season (100th consecutive) in the Football League. It was also their third consecutive season in The Championship, the second tier of English football. The club won promotion, via the play-offs, to the Premier League for the first time, their 28th overall season in the top tier. Their victory over Cardiff City in the Final was the club's ninth victory in their last eleven games.",http://en.wikipedia.org/wiki/2009–10_Blackpool_F.C._season
"Consulate-General of India, Houston","The Consulate-General of India in Houston is a diplomatic mission of India in Houston. It serves Arkansas, Colorado, Kansas, Louisiana, Nebraska, Oklahoma, and Texas.The consulate opened in October 1995. The Consulate was previously located in Suite 600 of 3 Post Oak Central in the Uptown District. The space, which was the consulate's first location, had 11,353 square feet (1,054.7 m2) of space. In 2011 the consulate announced that it planned to outsource visa services.","http://en.wikipedia.org/wiki/Consulate-General_of_India,_Houston"
List of Celtic F.C. seasons,"The Celtic Football Club was established in 1887. The club have won the Scottish League Championship 45 times, the Scottish Cup 35 times and the Scottish League Cup 14 times. They also won the European Cup in 1967.The club has played more than 100 seasons in Scottish football. The table details the club's achievements in all national and European first team competitions for each completed season.",http://en.wikipedia.org/wiki/List_of_Celtic_F.C._seasons
2010–11 Crewe Alexandra F.C. season,This article details Crewe Alexandra's 2010–11 season in League Two. This will be Crewe's 87th competitive season.,http://en.wikipedia.org/wiki/2010–11_Crewe_Alexandra_F.C._season
Dayton Flyers baseball,"For information on all University of Dayton sports, see Dayton FlyersThe Dayton Flyers baseball team is a varsity intercollegiate athletic team of the University of Dayton in Dayton, Ohio, USA. The team is a member of the Atlantic 10 Conference, which is part of the National Collegiate Athletic Association's Division I. The team plays its home games at Woerner Field in Dayton, Ohio. The Flyers are coached by Tony Vittorio.",http://en.wikipedia.org/wiki/Dayton_Flyers_baseball
Clarkson Golden Knights men's ice hockey,"The Clarkson Golden Knights men's ice hockey team is a National Collegiate Athletic Association (NCAA) Division I college ice hockey program that represents Clarkson University. The Golden Knights have been a member of ECAC Hockey since 1962, and play their home games at Cheel Arena in Potsdam, New York.",http://en.wikipedia.org/wiki/Clarkson_Golden_Knights_men's_ice_hockey
2006 Mangalore riots,The 2006 Mangalore Riots were a set of riots in Mangalore triggered by an attack by Hindu activists on a van carrying cows for the slaughter house. Cows have always been revered religiously by the Hindu community.,http://en.wikipedia.org/wiki/2006_Mangalore_riots
MDDS,Meta data and data standards or MDDS is the official document describing the standards for common metadata as part of India's National e-Governance Plan.,http://en.wikipedia.org/wiki/MDDS
Sound and Picture Archives for Research on Women,"Sound and Picture Archives for Research on Women or SPARROW is an archive of Indian women's history located in Dahisar, Mumbai. The archive contains print, visual, photographic and film materials related to women's history in India. The archive, which was founded in 1988 by Tamil feminist writer C. S. Lakshmi, is the largest archive of women's history in India.The archive collects oral history, personal papers, recorded speeches, photographers, posters, songs, art work etc.",http://en.wikipedia.org/wiki/Sound_and_Picture_Archives_for_Research_on_Women
Ariyalur division,"Ariyalur division is a revenue division in the Ariyalur district of Tamil Nadu, India.",http://en.wikipedia.org/wiki/Ariyalur_division
Ball State Cardinals baseball,"For information on all Ball State University sports, see Ball State CardinalsThe Ball State Cardinals baseball team is a varsity intercollegiate athletic team of Ball State University in Muncie, Indiana, USA. The team is a member of the Mid-American Conference West division, which is part of the National Collegiate Athletic Association's Division I. Ball State's first baseball team was fielded in 1920. The team plays its home games at Ball Diamond in Muncie, Indiana.",http://en.wikipedia.org/wiki/Ball_State_Cardinals_baseball
2013 Mumbai building collapse,The 2013 Mumbai building collapse occurred on 27 September 2013 when a five-story building collapsed in the Mazagaon area of Mumbai city in Maharashtra a state in India. At least 61 people died and 32 others were injured in the disaster.,http://en.wikipedia.org/wiki/2013_Mumbai_building_collapse
Diwan-i-Am (Red Fort),"The Diwan-i-Am, or Hall of Audience, located in the Red Fort of Delhi was where the Mughal emperor Shah Jahan (1628-1658) and his successors received members of the general public and heard their grievances.The inner main court to which the Nakkar Khana led was 540 feet broad, 420 feet deep, and surrounded by arcade galleries, where chieftains (umaras) on duty were posted.",http://en.wikipedia.org/wiki/Diwan-i-Am_(Red_Fort)
Khas Mahal (Red Fort),"The Khas Mahal served as the Mughal emperor's private residence in Delhi. The structure is located inside the Red Fort, which is a large fort complex located inside the city.It consists of three parts: the Chamber of Telling Beads (Viz-tasbih-khana), the sleeping chamber, (khwabgah) and the wardrobe (tosha-khana) or sitting room (baithak). The interior is decorated with carved white marble painted with colourful floral decorations. The ceiling was also partially gilded.",http://en.wikipedia.org/wiki/Khas_Mahal_(Red_Fort)
Mazum reservoir,"The Mazum Dam is located near Modasa, Gujarat in India. it is built on small river called Mazum which may the reason it has been named as Mazum dam. it is located in Sabarkantha District of Gujarat near Modasa town. it is about 9 km away from modasa. This dam supplies water, allowing farmers to harvest their crops and is also used when nearby towns are running out of water.",http://en.wikipedia.org/wiki/Mazum_reservoir
Manaji Rao Scindia,"Manaji Rao Scindia Bahadur (? - af.1777) was the Maharaja Scindia of Gwalior (r.1764 - 1768).He was grandson of Sardar Sabaji Scindia. He was recognised by the Peshwa as the Sardar of the Scindias on 10 July 1764, and succeeded by Mahadaji Scindia on 18 January 1768.",http://en.wikipedia.org/wiki/Manaji_Rao_Scindia
Apollo Lunar Module,"The Apollo Lunar Module (LM), also (and originally) known as the Lunar Excursion Module (LEM), was the lander portion of the Apollo spacecraft built for the US Apollo program by Grumman to carry a crew of two from lunar orbit to the surface and back.",http://en.wikipedia.org/wiki/Apollo_Lunar_Module
Armed Islamic Group of Algeria,"The Armed Islamic Group (GIA, al-Jama'ah al-Islamiyah al-Musallaha, from French Groupe Islamique Armé; Arabic الجماعة الإسلامية المسلّحة ) is an Islamist organisation that wants to overthrow the Algerian government and replace it with an Islamic state. The GIA adopted violent tactics in 1992 after the military government voided the victory of the Islamic Salvation Front, the largest Islamic opposition party, in the first round of legislative elections held in December 1991.",http://en.wikipedia.org/wiki/Armed_Islamic_Group_of_Algeria
Atomic TV,Atomic TV was a channel launched in 1997 in Romania. It originated in music and music videos. It was closed in 2000 and was replaced by MTV Romania.,http://en.wikipedia.org/wiki/Atomic_TV
Azo of Iberia,"For other uses, see AzoAzo (Georgian: აზო) or Azoy (Georgian: აზოჲ) also known as Azon (აზონი) was a legendary ruler of Georgians of ancient Kartli (Iberia of the Classical authors) claimed by medieval Georgian annals to have been installed by Alexander the Great, king of Macedon (r. 336–323 BC).",http://en.wikipedia.org/wiki/Azo_of_Iberia
Baba (honorific),"Baba (Persian: ‎: بابا, Urdu: ‎, Pashto: ‎; Sanskrit, Punjabi, Bengali, Hindi and Marathi: बाबा; father; grandfather; wise old man; sir,) is a Persian honorific term used in several West and South Asian cultures.",http://en.wikipedia.org/wiki/Baba_(honorific)
Babu (title),"The term babu, also spelled baboo, is used in modern-day South Asia as a sign of respect towards men. It is a derivation of bapu which means father or grand father. The honorific ""ji"" is sometimes added as a suffix to create the double honorific ""babuji"" which, in northern and eastern parts of India, is a term of respect for one's father. ""Babuji"" can also be used as a term of respect for any respected elder or man.",http://en.wikipedia.org/wiki/Babu_(title)
Boto people,The Boto or Bot people are a community found in Jammu and Kashmir.,http://en.wikipedia.org/wiki/Boto_people
East Coast Conference,"The East Coast Conference (ECC) is a collegiate athletic conference affiliated with the National Collegiate Athletic Association (NCAA)'s Division II. Member institutions are located in the northeastern United States in the states of Connecticut and New York, as well as the District of Columbia.",http://en.wikipedia.org/wiki/East_Coast_Conference
Ford Kent engine,The Ford Kent is an internal combustion engine from British Ford.,http://en.wikipedia.org/wiki/Ford_Kent_engine
Indian Hockey Federation,The Indian Hockey Federation [1] was the Indian branch of the International Hockey Federation.,http://en.wikipedia.org/wiki/Indian_Hockey_Federation
Middle Atlantic Conferences,"Founded in 1912, the Middle Atlantic Conferences (MAC) is an umbrella organization of three athletic conferences which competes in the NCAA's Division III. The 18-member teams are located in the Mid-Atlantic United States.The organization is divided into two main conferences: the Commonwealth Conference and the Freedom Conference.",http://en.wikipedia.org/wiki/Middle_Atlantic_Conferences
Osama bin Laden (elephant),"Osama bin Laden, locally named after the infamous elusive terrorist, was a rogue bull elephant responsible for at least 27 deaths and destruction of property in the jungled Sonitpur district of the Indian state of Assam. After a two-year rampage from 2004 to 2006, an elephant was eventually shot; but some were doubtful that the right animal was killed.",http://en.wikipedia.org/wiki/Osama_bin_Laden_(elephant)
Patriot (American Revolution),"Patriots (also known as Rebels, Revolutionaries, Congress-Men, or American Whigs) were those colonists of the Thirteen Colonies who violently rebelled against British control during the American Revolution and in July 1776 declared the United States of America an independent nation.",http://en.wikipedia.org/wiki/Patriot_(American_Revolution)
Plymouth Company,"The Plymouth Company was an English joint stock company founded in 1606 by James I of England with the purpose of establishing settlements on the coast of North America.The merchants offered a en economical agreement to the settlers, where the merchants agreed to finance their trip and in return the settlers would have to repay their trip, through the profits made, with interest.The company thus fell into disuse and in 1609.In 1620, after years of disuse, the company was revived and reorganized as the Plymouth Council for New England. ",http://en.wikipedia.org/wiki/Plymouth_Company
Rural Infrastructure Service Commons,"Rural Infrastructure Service Commons (RISC) is a strategy for rural development in India proposed in 2002 by Vinod Khosla and Atanu Dey.RISC proposes the establishment of rural hubs with established infrastructure and fee-based user services that would be sustained by patronage from surrounding villages, accessible by bicycle. Each hub would provide economic opportunities for India's rural population and the potential to seed a larger urban center.",http://en.wikipedia.org/wiki/Rural_Infrastructure_Service_Commons
