item_title,item_desc,link
FIBA SuproLeague,"FIBA SuproLeague was the FIBA professional club basketball Champions' Cup for the 2000–01 season. Up until that season, there was one cup, the FIBA European Champions' Cup (which is now called the Euroleague), though in this season of 2000–01, the leading European teams split into two competitions: the FIBA SuproLeague and Euroleague Basketball Company's Euroleague 2000–01.",http://en.wikipedia.org/wiki/FIBA_SuproLeague
Medieval India,"Medieval India refers to the Postclassical Era, i.e. 8th to 18th century CE in the Indian subcontinent. It is divided into two periods: The 'early medieval period' which lasted from the 8th to the 13th century and the 'late medieval period' which lasted from the 13th to the 18th century in some definitions, though many end the period with the start of the Mughal Empire in 1526.",http://en.wikipedia.org/wiki/Medieval_India
Shiv Sadan,"Shiv Sadan is a large farm and spiritual community in Uttar Pradesh, India, on the shores of the Ganges.At the time of its development in the late 1980s by Sikh spiritual leader Baba Virsa Singh Ji (Babaji), no one believed that such an area could be farmed successfully. The area was a sandy, alkaline, treeless wasteland that was prone to flooding, and had been condemned by the Indian government.",http://en.wikipedia.org/wiki/Shiv_Sadan
List of Volvo engines,"Volvo Cars has a long reputation as a maker of inline (or straight) engines. This list of Volvo engines gives an overview of available internal combustion engines.When Volvo started in 1927, they ordered their engines from the engine manufacturer Penta in Skövde. The first engine was the inline four-cylinder side-valve 28 horsepower (21 kW; 28 PS) Type DA.",http://en.wikipedia.org/wiki/List_of_Volvo_engines
Electricity Trust of South Australia,The Electricity Trust of South Australia (ETSA) was the South Australian Government-owned monopoly vertically integrated electricity provider. Its controversial privatisation in 1999 was one of the most important political events in recent South Australian history.,http://en.wikipedia.org/wiki/Electricity_Trust_of_South_Australia
Rule of the Dukes,"The Rule of the Dukes was an interregnum in the Lombard Kingdom of Italy (574/5–584/5) during which Italy was ruled by the Lombard dukes of the old Roman provinces and urban centres. The interregnum is said to have lasted ten years according to Paul the Deacon, but all other sources—the Fredegarii Chronicon, the Origo Gentis Langobardorum, the Chronicon Gothanum, and the Copenhagen continuator of Prosper Tiro—accord it twelve.",http://en.wikipedia.org/wiki/Rule_of_the_Dukes
Buffalo racing in Kerala,"Bull or Buffalo racing (""Kala or Pothu poottu matsaram"") is an agricultural spectator sport held in Kerala, India for thousands of years.",http://en.wikipedia.org/wiki/Buffalo_racing_in_Kerala
Montgomeryshire Football League,"The Montgomeryshire Football League (currently the The JT Hughes Football League) is a football league in Mid Wales, sitting at the fifth and sixth levels of the Welsh football league system.The league hosts several cup competitions: Emrys Morgan Cup, Montgomeryshire Cup, Village Cup, League Cup and Consolation Cup.Teams promoted from Division One may enter the Mid Wales League if standards and facilities fall into line with the regulations of the Mid Wales League.Currently one team is from just over the border in England — Trefonen.",http://en.wikipedia.org/wiki/Montgomeryshire_Football_League
15 point Programme for minorities,"15 point Programme for minorities is a controversial programme approved by Indian government in 2006 for welfare of religious minorities. It ran into controversies with the principal opposition party Bharatiya Janata Party charging the UPA government of communal budgeting, minority appeasment, religious discrimination and vote bank politics. The Central government has allocated 15% of plan outlays for implementation of the 15 points.",http://en.wikipedia.org/wiki/15_point_Programme_for_minorities
MIOS,MIOS or Meter Inter Operability Solution is a specification for inter operability of electric meters for remote meter reading applications in India proposed by IEEMA and is developed and maintained by Metering India which is a group of Meter Manufacturers.,http://en.wikipedia.org/wiki/MIOS
